,country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
0,Finland,Western Europe,7.804,1.888,1.585,0.535,0.772,0.126,0.535
1,Denmark,Western Europe,7.586,1.949,1.548,0.537,0.734,0.208,0.525
2,Iceland,Western Europe,7.53,1.926,1.62,0.559,0.738,0.25,0.187
3,Israel,Middle East and North Africa,7.473,1.833,1.521,0.577,0.569,0.124,0.158
4,Netherlands,Western Europe,7.403,1.942,1.488,0.545,0.672,0.251,0.394
5,Sweden,Western Europe,7.395,1.921,1.51,0.562,0.754,0.225,0.52
6,Norway,Western Europe,7.315,1.994,1.521,0.544,0.752,0.212,0.463
7,Switzerland,Western Europe,7.24,2.022,1.463,0.582,0.678,0.151,0.475
8,Luxembourg,Western Europe,7.228,2.2,1.357,0.549,0.71,0.149,0.418
9,New Zealand,North America and ANZ,7.123,1.842,1.544,0.513,0.672,0.23,0.471
10,Austria,Western Europe,7.097,1.927,1.382,0.535,0.63,0.191,0.31
11,Australia,North America and ANZ,7.095,1.899,1.497,0.532,0.677,0.242,0.31
12,Canada,North America and ANZ,6.961,1.881,1.484,0.541,0.656,0.218,0.364
13,Ireland,Western Europe,6.911,2.152,1.425,0.539,0.656,0.186,0.409
14,United States,North America and ANZ,6.894,1.98,1.46,0.39,0.557,0.21,0.172
15,Germany,Western Europe,6.892,1.919,1.401,0.539,0.618,0.153,0.365
16,Belgium,Western Europe,6.859,1.907,1.449,0.528,0.59,0.137,0.273
17,Czechia,Central and Eastern Europe,6.845,1.823,1.544,0.477,0.693,0.158,0.05
18,United Kingdom,Western Europe,6.796,1.857,1.366,0.511,0.626,0.272,0.34
19,Lithuania,Central and Eastern Europe,6.763,1.808,1.511,0.432,0.487,0.059,0.089
20,France,Western Europe,6.661,1.856,1.433,0.566,0.582,0.083,0.27
21,Slovenia,Central and Eastern Europe,6.65,1.815,1.539,0.532,0.707,0.144,0.113
22,Costa Rica,Latin America and Caribbean,6.609,1.587,1.34,0.503,0.683,0.099,0.116
23,Romania,Central and Eastern Europe,6.589,1.726,1.28,0.423,0.631,0.044,0.0
24,Singapore,Southeast Asia,6.587,2.168,1.354,0.607,0.66,0.17,0.561
25,United Arab Emirates,Middle East and North Africa,6.571,2.015,1.223,0.401,0.745,0.188,0.247
26,Taiwan Province of China,East Asia,6.535,1.89,1.372,0.492,0.562,0.067,0.178
27,Uruguay,Latin America and Caribbean,6.494,1.617,1.445,0.435,0.683,0.102,0.254
28,Slovakia,Central and Eastern Europe,6.469,1.731,1.544,0.472,0.494,0.128,0.022
29,Saudi Arabia,Middle East and North Africa,6.463,1.861,1.37,0.351,0.682,0.093,0.17
30,Estonia,Central and Eastern Europe,6.455,1.798,1.526,0.494,0.728,0.153,0.372
31,Spain,Western Europe,6.436,1.798,1.491,0.567,0.533,0.101,0.157
32,Italy,Western Europe,6.405,1.832,1.365,0.559,0.438,0.097,0.063
33,Kosovo,Central and Eastern Europe,6.368,1.374,1.269,0.372,0.639,0.275,0.045
34,Chile,Latin America and Caribbean,6.334,1.645,1.384,0.511,0.546,0.131,0.076
